Session History: LG AC AKB754152302 Harish3845
1,16:44:45.8,FRIEDRICH28AC,h0,88130D1,,28,24-10-2019,1;0;1000;0|2;1000;3084;1|3;4084;9536;0|4;13620;528;1|5;14148;1488;0|6;15636;516;1|7;16152;470;0|8;16622;516;1|9;17138;470;0|10;17608;516;1|11;18124;470;0|12;18594;528;1|13;19122;1488;0|14;20610;516;1|15;21126;470;0|16;21596;516;1|17;22112;470;0|18;22582;516;1|19;23098;470;0|20;23568;516;1|21;24084;470;0|22;24554;516;1|23;25070;470;0|24;25540;516;1|25;26056;470;0|26;26526;528;1|27;27054;1488;0|28;28542;516;1|29;29058;470;0|30;29528;516;1|31;30044;470;0|32;30514;528;1|33;31042;1488;0|34;32530;528;1|35;33058;1488;0|36;34546;516;1|37;35062;470;0|38;35532;516;1|39;36048;470;0|40;36518;516;1|41;37034;470;0|42;37504;516;1|43;38020;470;0|44;38490;528;1|45;39018;1488;0|46;40506;528;1|47;41034;1488;0|48;42522;516;1|49;43038;470;0|50;43508;528;1|51;44036;1488;0|52;45524;516;1|53;46040;470;0|54;46510;516;1|55;47026;470;0|56;47496;516;1|57;48012;470;0|58;48482;528;1|59;49010;1488;0|60;50498;528;1|, ,38000
1,16:44:44.6,FRIEDRICH28AC,h -1,88130C0,,28,24-10-2019,1;0;1000;0|2;1000;3092;1|3;4092;9520;0|4;13612;532;1|5;14144;1498;0|6;15642;508;1|7;16150;472;0|8;16622;508;1|9;17130;472;0|10;17602;508;1|11;18110;472;0|12;18582;532;1|13;19114;1498;0|14;20612;508;1|15;21120;472;0|16;21592;508;1|17;22100;472;0|18;22572;508;1|19;23080;472;0|20;23552;508;1|21;24060;472;0|22;24532;508;1|23;25040;472;0|24;25512;508;1|25;26020;472;0|26;26492;532;1|27;27024;1498;0|28;28522;508;1|29;29030;472;0|30;29502;508;1|31;30010;472;0|32;30482;532;1|33;31014;1498;0|34;32512;532;1|35;33044;1498;0|36;34542;508;1|37;35050;472;0|38;35522;508;1|39;36030;472;0|40;36502;508;1|41;37010;472;0|42;37482;508;1|43;37990;472;0|44;38462;532;1|45;38994;1498;0|46;40492;532;1|47;41024;1498;0|48;42522;508;1|49;43030;472;0|50;43502;508;1|51;44010;472;0|52;44482;508;1|53;44990;472;0|54;45462;508;1|55;45970;472;0|56;46442;508;1|57;46950;472;0|58;47422;508;1|59;47930;472;0|60;48402;532;1|, ,38000
1,16:44:35.1,FRIEDRICH28AC,h-2,88130BF,,28,24-10-2019,1;0;1000;0|2;1000;3076;1|3;4076;9500;0|4;13576;520;1|5;14096;1494;0|6;15590;508;1|7;16098;488;0|8;16586;508;1|9;17094;488;0|10;17582;508;1|11;18090;488;0|12;18578;520;1|13;19098;1494;0|14;20592;508;1|15;21100;488;0|16;21588;508;1|17;22096;488;0|18;22584;508;1|19;23092;488;0|20;23580;508;1|21;24088;488;0|22;24576;508;1|23;25084;488;0|24;25572;508;1|25;26080;488;0|26;26568;520;1|27;27088;1494;0|28;28582;508;1|29;29090;488;0|30;29578;508;1|31;30086;488;0|32;30574;520;1|33;31094;1494;0|34;32588;520;1|35;33108;1494;0|36;34602;508;1|37;35110;488;0|38;35598;508;1|39;36106;488;0|40;36594;508;1|41;37102;488;0|42;37590;508;1|43;38098;488;0|44;38586;520;1|45;39106;1494;0|46;40600;508;1|47;41108;488;0|48;41596;520;1|49;42116;1494;0|50;43610;520;1|51;44130;1494;0|52;45624;520;1|53;46144;1494;0|54;47638;520;1|55;48158;1494;0|56;49652;520;1|57;50172;1494;0|58;51666;520;1|59;52186;1494;0|60;53680;520;1|, ,38000
1,16:44:28.4,FRIEDRICH28AC,f fA,880A352,,28,24-10-2019,1;0;1000;0|2;1000;3092;1|3;4092;9468;0|4;13560;530;1|5;14090;1506;0|6;15596;510;1|7;16106;482;0|8;16588;510;1|9;17098;482;0|10;17580;510;1|11;18090;482;0|12;18572;530;1|13;19102;1506;0|14;20608;510;1|15;21118;482;0|16;21600;510;1|17;22110;482;0|18;22592;510;1|19;23102;482;0|20;23584;510;1|21;24094;482;0|22;24576;510;1|23;25086;482;0|24;25568;510;1|25;26078;482;0|26;26560;510;1|27;27070;482;0|28;27552;530;1|29;28082;1506;0|30;29588;510;1|31;30098;482;0|32;30580;530;1|33;31110;1506;0|34;32616;510;1|35;33126;482;0|36;33608;510;1|37;34118;482;0|38;34600;510;1|39;35110;482;0|40;35592;530;1|41;36122;1506;0|42;37628;530;1|43;38158;1506;0|44;39664;510;1|45;40174;482;0|46;40656;530;1|47;41186;1506;0|48;42692;510;1|49;43202;482;0|50;43684;530;1|51;44214;1506;0|52;45720;510;1|53;46230;482;0|54;46712;510;1|55;47222;482;0|56;47704;530;1|57;48234;1506;0|58;49740;510;1|59;50250;482;0|60;50732;530;1|, ,38000
1,16:44:22.1,FRIEDRICH28AC,f f4,880A341,,28,24-10-2019,1;0;1000;0|2;1000;3084;1|3;4084;9544;0|4;13628;500;1|5;14128;1520;0|6;15648;508;1|7;16156;478;0|8;16634;508;1|9;17142;478;0|10;17620;508;1|11;18128;478;0|12;18606;500;1|13;19106;1520;0|14;20626;508;1|15;21134;478;0|16;21612;508;1|17;22120;478;0|18;22598;508;1|19;23106;478;0|20;23584;508;1|21;24092;478;0|22;24570;508;1|23;25078;478;0|24;25556;508;1|25;26064;478;0|26;26542;508;1|27;27050;478;0|28;27528;500;1|29;28028;1520;0|30;29548;508;1|31;30056;478;0|32;30534;500;1|33;31034;1520;0|34;32554;508;1|35;33062;478;0|36;33540;508;1|37;34048;478;0|38;34526;508;1|39;35034;478;0|40;35512;500;1|41;36012;1520;0|42;37532;500;1|43;38032;1520;0|44;39552;508;1|45;40060;478;0|46;40538;500;1|47;41038;1520;0|48;42558;508;1|49;43066;478;0|50;43544;508;1|51;44052;478;0|52;44530;508;1|53;45038;478;0|54;45516;508;1|55;46024;478;0|56;46502;508;1|57;47010;478;0|58;47488;500;1|59;47988;1520;0|60;49508;500;1|, ,38000
1,16:44:18.9,FRIEDRICH28AC,f f4,880A3A7,,28,24-10-2019,1;0;1000;0|2;1000;3084;1|3;4084;9516;0|4;13600;506;1|5;14106;1522;0|6;15628;510;1|7;16138;470;0|8;16608;510;1|9;17118;470;0|10;17588;510;1|11;18098;470;0|12;18568;506;1|13;19074;1522;0|14;20596;510;1|15;21106;470;0|16;21576;510;1|17;22086;470;0|18;22556;510;1|19;23066;470;0|20;23536;510;1|21;24046;470;0|22;24516;510;1|23;25026;470;0|24;25496;510;1|25;26006;470;0|26;26476;510;1|27;26986;470;0|28;27456;506;1|29;27962;1522;0|30;29484;510;1|31;29994;470;0|32;30464;506;1|33;30970;1522;0|34;32492;510;1|35;33002;470;0|36;33472;510;1|37;33982;470;0|38;34452;510;1|39;34962;470;0|40;35432;506;1|41;35938;1522;0|42;37460;506;1|43;37966;1522;0|44;39488;506;1|45;39994;1522;0|46;41516;510;1|47;42026;470;0|48;42496;506;1|49;43002;1522;0|50;44524;510;1|51;45034;470;0|52;45504;510;1|53;46014;470;0|54;46484;528;1|55;47012;1456;0|56;48468;506;1|57;48974;1522;0|58;50496;528;1|59;51024;1456;0|60;52480;506;1|, ,38000
1,16:44:15.0,FRIEDRICH28AC,f f3,880A32F,,28,24-10-2019,1;0;1000;0|2;1000;3096;1|3;4096;9532;0|4;13628;502;1|5;14130;1498;0|6;15628;508;1|7;16136;478;0|8;16614;508;1|9;17122;478;0|10;17600;508;1|11;18108;478;0|12;18586;502;1|13;19088;1498;0|14;20586;508;1|15;21094;478;0|16;21572;508;1|17;22080;478;0|18;22558;508;1|19;23066;478;0|20;23544;508;1|21;24052;478;0|22;24530;508;1|23;25038;478;0|24;25516;508;1|25;26024;478;0|26;26502;508;1|27;27010;478;0|28;27488;502;1|29;27990;1498;0|30;29488;508;1|31;29996;478;0|32;30474;502;1|33;30976;1498;0|34;32474;508;1|35;32982;478;0|36;33460;508;1|37;33968;478;0|38;34446;508;1|39;34954;478;0|40;35432;502;1|41;35934;1498;0|42;37432;502;1|43;37934;1498;0|44;39432;508;1|45;39940;478;0|46;40418;508;1|47;40926;478;0|48;41404;502;1|49;41906;1498;0|50;43404;508;1|51;43912;478;0|52;44390;502;1|53;44892;1498;0|54;46390;502;1|55;46892;1498;0|56;48390;502;1|57;48892;1498;0|58;50390;502;1|59;50892;1498;0|60;52390;502;1|, ,38000
1,16:44:11.0,FRIEDRICH28AC,f f2,880A396,,28,24-10-2019,1;0;1000;0|2;1000;3092;1|3;4092;9528;0|4;13620;506;1|5;14126;1498;0|6;15624;508;1|7;16132;486;0|8;16618;508;1|9;17126;486;0|10;17612;508;1|11;18120;486;0|12;18606;506;1|13;19112;1498;0|14;20610;508;1|15;21118;486;0|16;21604;508;1|17;22112;486;0|18;22598;508;1|19;23106;486;0|20;23592;508;1|21;24100;486;0|22;24586;508;1|23;25094;486;0|24;25580;508;1|25;26088;486;0|26;26574;508;1|27;27082;486;0|28;27568;506;1|29;28074;1498;0|30;29572;508;1|31;30080;486;0|32;30566;506;1|33;31072;1498;0|34;32570;508;1|35;33078;486;0|36;33564;508;1|37;34072;486;0|38;34558;508;1|39;35066;486;0|40;35552;506;1|41;36058;1498;0|42;37556;506;1|43;38062;1498;0|44;39560;506;1|45;40066;1498;0|46;41564;508;1|47;42072;486;0|48;42558;508;1|49;43066;486;0|50;43552;506;1|51;44058;1498;0|52;45556;508;1|53;46064;486;0|54;46550;506;1|55;47056;1498;0|56;48554;506;1|57;49060;1498;0|58;50558;508;1|59;51066;486;0|60;51552;506;1|, ,38000
1,16:44:07.0,FRIEDRICH28AC,f f1,880A30D,,28,24-10-2019,1;0;1000;0|2;1000;3092;1|3;4092;9552;0|4;13644;526;1|5;14170;1486;0|6;15656;512;1|7;16168;472;0|8;16640;512;1|9;17152;472;0|10;17624;512;1|11;18136;472;0|12;18608;526;1|13;19134;1486;0|14;20620;512;1|15;21132;472;0|16;21604;512;1|17;22116;472;0|18;22588;512;1|19;23100;472;0|20;23572;512;1|21;24084;472;0|22;24556;512;1|23;25068;472;0|24;25540;512;1|25;26052;472;0|26;26524;512;1|27;27036;472;0|28;27508;526;1|29;28034;1486;0|30;29520;512;1|31;30032;472;0|32;30504;526;1|33;31030;1486;0|34;32516;512;1|35;33028;472;0|36;33500;512;1|37;34012;472;0|38;34484;512;1|39;34996;472;0|40;35468;526;1|41;35994;1486;0|42;37480;526;1|43;38006;1486;0|44;39492;512;1|45;40004;472;0|46;40476;512;1|47;40988;472;0|48;41460;512;1|49;41972;472;0|50;42444;512;1|51;42956;472;0|52;43428;526;1|53;43954;1486;0|54;45440;526;1|55;45966;1486;0|56;47452;512;1|57;47964;472;0|58;48436;526;1|59;48962;1486;0|60;50448;526;1|, ,38000
1,16:44:02.3,FRIEDRICH28AC,f fA,880A352,,28,24-10-2019,1;0;1000;0|2;1000;3076;1|3;4076;9548;0|4;13624;520;1|5;14144;1500;0|6;15644;518;1|7;16162;476;0|8;16638;518;1|9;17156;476;0|10;17632;518;1|11;18150;476;0|12;18626;520;1|13;19146;1500;0|14;20646;518;1|15;21164;476;0|16;21640;518;1|17;22158;476;0|18;22634;518;1|19;23152;476;0|20;23628;518;1|21;24146;476;0|22;24622;518;1|23;25140;476;0|24;25616;518;1|25;26134;476;0|26;26610;518;1|27;27128;476;0|28;27604;520;1|29;28124;1500;0|30;29624;518;1|31;30142;476;0|32;30618;520;1|33;31138;1500;0|34;32638;518;1|35;33156;476;0|36;33632;518;1|37;34150;476;0|38;34626;518;1|39;35144;476;0|40;35620;520;1|41;36140;1500;0|42;37640;520;1|43;38160;1500;0|44;39660;518;1|45;40178;476;0|46;40654;520;1|47;41174;1500;0|48;42674;518;1|49;43192;476;0|50;43668;520;1|51;44188;1500;0|52;45688;518;1|53;46206;476;0|54;46682;518;1|55;47200;476;0|56;47676;520;1|57;48196;1500;0|58;49696;518;1|59;50214;476;0|60;50690;520;1|, ,38000
